reference,EU_ReferenceScenario_2020,EU27,Primary Energy|Biomass,EJ/yr,3.6248,N/A,N/A,N/A,N/A,5.2075,N/A,N/A,N/A,N/A,5.8182,N/A,N/A,N/A,N/A,6.1364,6.5968,6.9401,7.0184,6.8953,6.6777,6.6886,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Primary Energy|Biomass,EJ/yr,3.6248,N/A,N/A,N/A,N/A,5.2075,N/A,N/A,N/A,N/A,5.8182,N/A,N/A,N/A,N/A,6.1364,6.5968,6.9401,7.0184,6.8953,6.6777,6.6886,NA
reference,EU_ReferenceScenario_2020,EU27,Primary Energy|Coal,EJ/yr,11.7419,N/A,N/A,N/A,N/A,10.5803,N/A,N/A,N/A,N/A,10.0493,N/A,N/A,N/A,N/A,6.4314,5.7403,4.7437,3.3892,1.8476,1.5242,1.5643,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Primary Energy|Coal,EJ/yr,11.7419,N/A,N/A,N/A,N/A,10.5803,N/A,N/A,N/A,N/A,10.0493,N/A,N/A,N/A,N/A,6.4314,5.7403,4.7437,3.3892,1.8476,1.5242,1.5643,NA
reference,EU_ReferenceScenario_2020,EU27,Primary Energy|Gas,EJ/yr,15.0602,N/A,N/A,N/A,N/A,15.1907,N/A,N/A,N/A,N/A,12.3813,N/A,N/A,N/A,N/A,12.4119,12.6613,11.3921,11.3519,11.4441,11.0524,11.2165,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Primary Energy|Gas,EJ/yr,15.0602,N/A,N/A,N/A,N/A,15.1907,N/A,N/A,N/A,N/A,12.3813,N/A,N/A,N/A,N/A,12.4119,12.6613,11.3921,11.3519,11.4441,11.0524,11.2165,NA
reference,EU_ReferenceScenario_2020,EU27,Primary Energy|Geothermal,EJ/yr,0.316,N/A,N/A,N/A,N/A,0.4606,N/A,N/A,N/A,N/A,0.6752,N/A,N/A,N/A,N/A,0.8371,0.8775,1.1727,1.191,1.3634,1.5815,1.6396,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Primary Energy|Geothermal,EJ/yr,0.316,N/A,N/A,N/A,N/A,0.4606,N/A,N/A,N/A,N/A,0.6752,N/A,N/A,N/A,N/A,0.8371,0.8775,1.1727,1.191,1.3634,1.5815,1.6396,NA
reference,EU_ReferenceScenario_2020,EU27,Primary Energy|Hydro,EJ/yr,1.1102,N/A,N/A,N/A,N/A,1.344,N/A,N/A,N/A,N/A,1.22,N/A,N/A,N/A,N/A,1.2115,1.3018,1.3028,1.3072,1.3107,1.3256,1.3257,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Primary Energy|Hydro,EJ/yr,1.1102,N/A,N/A,N/A,N/A,1.344,N/A,N/A,N/A,N/A,1.22,N/A,N/A,N/A,N/A,1.2115,1.3018,1.3028,1.3072,1.3107,1.3256,1.3257,NA
reference,EU_ReferenceScenario_2020,EU27,Primary Energy|Nuclear,EJ/yr,3.2714,N/A,N/A,N/A,N/A,3.0484,N/A,N/A,N/A,N/A,2.8296,N/A,N/A,N/A,N/A,2.4329,2.0655,1.8682,1.7173,1.6414,1.5251,1.4537,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Primary Energy|Nuclear,EJ/yr,3.2714,N/A,N/A,N/A,N/A,3.0484,N/A,N/A,N/A,N/A,2.8296,N/A,N/A,N/A,N/A,2.4329,2.0655,1.8682,1.7173,1.6414,1.5251,1.4537,NA
reference,EU_ReferenceScenario_2020,EU27,Primary Energy|Oil,EJ/yr,27.0521,N/A,N/A,N/A,N/A,24.529,N/A,N/A,N/A,N/A,22.3176,N/A,N/A,N/A,N/A,18.1769,19.9692,18.1889,16.6435,15.5448,14.6945,14.0067,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Primary Energy|Oil,EJ/yr,27.0521,N/A,N/A,N/A,N/A,24.529,N/A,N/A,N/A,N/A,22.3176,N/A,N/A,N/A,N/A,18.1769,19.9692,18.1889,16.6435,15.5448,14.6945,14.0067,NA
reference,EU_ReferenceScenario_2020,EU27,Primary Energy|Solar,EJ/yr,0.0332,N/A,N/A,N/A,N/A,0.1539,N/A,N/A,N/A,N/A,0.4523,N/A,N/A,N/A,N/A,0.6137,1.0063,1.4272,1.7153,2.0175,2.3309,2.4098,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Primary Energy|Solar,EJ/yr,0.0332,N/A,N/A,N/A,N/A,0.1539,N/A,N/A,N/A,N/A,0.4523,N/A,N/A,N/A,N/A,0.6137,1.0063,1.4272,1.7153,2.0175,2.3309,2.4098,NA
reference,EU_ReferenceScenario_2020,EU27,Primary Energy|Wind,EJ/yr,0.2432,N/A,N/A,N/A,N/A,0.5007,N/A,N/A,N/A,N/A,0.9468,N/A,N/A,N/A,N/A,1.4002,2.197,3.1552,3.7282,4.1247,4.6426,4.8625,NA
